trading_dt,gold_last_month,plat_last_month,mkt_rf,mkt_rf_3,mkt_rf_12,vix
1969-02-28,42.291,237.5,-0.058561630892515426,-0.005731243480690799,-0.01972839598101972,NA
1969-03-31,42.616,234.5,0.026879368227279876,0.013554817705166386,-0.010526437523602161,NA
1969-04-30,43.171,226.5,0.014488532223163153,-0.019566709231004047,-0.013642809624600257,NA
1969-05-31,43.295,210,-7.034473349438741e-4,-0.04777057295711155,-0.02400846471391918,NA
1969-06-30,43.461,181,-0.07248521258123142,-0.03181218030284283,-0.02972881281498051,NA
1969-07-31,41.442,180,-0.07012305895515936,-0.017417194645441298,-0.028524224745948335,NA
1969-08-31,41.755,158.5,0.047171730627862285,0.02289144748110287,-0.01692356263239983,NA
1969-09-30,41.128,157,-0.029300255609026826,-0.00548038435697451,-0.017099646884275815,NA
1969-10-31,40.865,161,0.05080286742447315,-0.004541527723255186,-0.011143094192825184,NA
1969-11-30,40.476,162.5,-0.03794376488636986,-0.0483032149673794,-0.017264900921827957,NA
1969-12-31,37.452,175.4,-0.026483685707868854,-0.01836800313975769,-0.010248827723054632,NA
1970-01-31,35.189,181,-0.08048219430789949,-0.013045806898700496,-0.003256487800785144,NA
1970-02-28,34.946,166.8,0.051861870596495274,-0.022851518412288645,0.007485295933569234,NA
1970-03-31,34.994,167,-0.010517096984697272,-0.06325468346034702,0.004336066828585071,NA
1970-04-30,35.089,172.5,-0.10989932884866394,-0.07909236971639637,0.008679748889869119,NA
1970-05-31,35.623,180.2,-0.06934762454767984,-0.019430964631034147,0.020465096894877337,NA
1970-06-30,35.958,159,-0.058030155752845314,0.018704483419975954,0.022905133949043015,NA
1970-07-31,35.437,143.5,0.06908488640742272,0.05210732756705131,0.027734256730761464,NA
1970-08-31,35.329,147.5,0.04505871960535046,0.021526094323390366,0.018200115291888447,NA
1970-09-30,35.377,140.5,0.04217837668838076,0.021922892287910223,0.017367501799071344,NA
1970-10-31,36.196,140.5,-0.022658813323560123,0.02700489784490497,0.013148259154319164,NA
1970-11-30,37.553,125.6,0.04624911349891003,0.05069757245420936,0.011360762213399414,NA
1970-12-31,37.455,114.7,0.057424393359365,0.03997157506680112,0.007118491257013397,NA
1971-01-31,37.434,113.9,0.04841921050435305,0.03469913986391656,0.009601630708959233,NA
1971-02-28,37.868,122.9,0.01407112133668531,0.029067685432943764,0.007642006785943067,NA
1971-03-31,38.716,98.5,0.041607087750711313,0.011021585021484759,0.008872848188632765,NA
1971-04-30,38.873,108,0.03152484721143467,-0.002874338352826985,0.005926026675428538,NA
1971-05-31,39.001,109,-0.04006717989769171,-0.028490891042989703,0.003516577495625487,NA
1971-06-30,40.493,101.5,-8.068237222391694e-5,-0.003446045179910725,0.007906259988079497,NA
1971-07-31,40.105,112.7,-0.04532481085905349,-0.006236662738717887,0.005892360340712934,NA
1971-08-31,40.929,113.4,0.03506735769154523,-0.005831317990565761,0.009004256641915898,NA
1971-09-30,42.722,116.7,-0.008452535048645404,-0.019073149880321567,0.008818038205274955,NA
1971-10-31,41.976,112,-0.04410877661459711,0.012818384063465249,0.00859620316684842,NA
1971-11-30,42.473,113.5,-0.004658137977722188,0.03582255074438397,0.012690516304237,NA
1971-12-31,42.842,102.1,0.08722206678271505,0.04698900279327859,0.016874193806055027,NA
1972-01-31,43.455,111,0.024903723428159052,0.019996723729793775,0.010181377337942249,NA
1972-02-29,45.64,105.1,0.02884121816896168,0.012565968271673444,0.005373971002464145,NA
1972-03-31,48.237,101.9,0.006245229592260593,0.007155232219271686,-0.0010563795650152437,NA
1972-04-30,48.288,99,0.002611457053798061,-0.003009003691689401,-0.0026778370094560724,NA
1972-05-31,49.026,104.8,0.012609010011756405,-0.006540174457828063,-0.007628065015591434,NA
1972-06-30,54.5,100.1,-0.02424747814062267,2.0106768887110751e-4,-0.0111492456808997,NA
1972-07-31,62.17,117.8,-0.007982055244617925,0.004578708565824059,-0.01041597208376708,NA
1972-08-31,65.558,153.2,0.03283273645185392,0.008913720658718649,-0.005564841960665257,NA
1972-09-30,66.917,147,-0.011114555509763813,0.013151472522798727,-0.0114796389898289,NA
1972-10-31,65.589,153.5,0.005022981034065843,0.019159080747840562,-0.006580565340450095,NA
1972-11-30,64.824,136.3,0.04554599204409415,0.00655636953729255,-0.007886945810332363,NA
1972-12-31,62.726,131.2,0.006908269165361691,-0.024733290691002496,-0.022337889655966513,NA
1973-01-31,63.779,142.7,-0.03278515259757819,-0.03144013365979951,-0.022388839993019133,NA
1973-02-28,65.127,144.3,-0.04832298864079099,-0.03944217580054887,-0.0197900065989453,NA
1973-03-31,73.971,137.5,-0.013212259741029353,-0.03321623224426614,-0.016132707868856944,NA
1973-04-30,84.105,173.5,-0.05679127901982628,-0.03396154398893344,-0.017398384480386147,NA
1973-05-31,90.441,144,-0.02964515797194278,0.0017127177618766476,-0.01708112003383323,NA
1973-06-30,101.623,140,-0.015448194975031249,-0.0011205055468456921,-0.018486427002886562,NA
1973-07-31,119.8,157.5,0.05023150623260397,0.019920335539092004,-0.019569916704235885,NA
1973-08-31,120.364,161,-0.0381448278981098,-3.7469473994977687e-4,-0.030487858699842774,NA
1973-09-30,106.225,179,0.04767432828278184,-0.030281530141751722,-0.03510735201297014,NA
1973-10-31,103.034,166.5,-0.010653584604521371,-0.04407401786243559,-0.048911279408960416,NA
1973-11-30,99.923,172.5,-0.12786533410351564,-0.0410558736171592,-0.034558179864647015,NA
1973-12-31,94.645,164,0.006296865120730244,8.743645743577073e-5,-0.027672533543156148,NA
1974-01-31,106.236,161.5,-0.0015991518686921946,-0.011478311609267563,-0.031064406784046,NA
1974-02-28,129.027,169.5,-0.004435403879730737,-0.028606629540100587,-0.01978117810004613,NA
1974-03-31,150,195,-0.028400379079379756,-0.0426311087803846,-0.014764484639099332,NA
1974-04-30,168.298,263.5,-0.05298410566119127,-0.04264767288433239,-0.010193725844398436,NA
1974-05-31,172.243,238.5,-0.04650884160058277,-0.051914236902161535,-0.0022533424066511765,NA
1974-06-30,163.568,231,-0.02845007139122313,-0.06760420558718001,0.005948921520544261,NA
1974-07-31,154.013,202.5,-0.0807837977146787,-0.09744511527980611,0.012344627965982458,NA
1974-08-31,142.283,195.5,-0.09357874765563823,-0.016655979399166743,0.013586046565914195,NA
1974-09-30,154.362,206.5,-0.11797280046910141,-5.422562624957475e-4,0.019019533488027412,NA
1974-10-31,151.66,176,0.1615836099272394,0.027313472637222058,0.025295577501522632,NA
1974-11-30,158.533,197.5,-0.04523757824562524,0.018052133441244345,0.016254835456654255,NA
1974-12-31,181.483,191.5,-0.034405613769947996,0.051719632073663035,0.022247935126805018,NA
1975-01-31,183.683,178,0.13379959233930627,0.0720044121493227,0.023754554801984518,NA
1975-02-28,176.864,167,0.05576491765163083,0.04150471323347923,0.02276604642240933,NA
